Neighbourhood ID,Neighbourhood,Animal/Insect Type,Status Code,Status Description,Created Date,Completed Date,Issue Date,Number of Hens,Neighbours Informed,Registered with Provincial APICult,Nbhd Centre Latitude,Nbhd Centre Longitude,Nbhd Centre Geo Location
1080,Delton,Bees,ISSUED,Issued,03/04/2016 08:30:12 PM,04/25/2016 04:51:53 PM,04/25/2016 12:00:00 AM,,Y,Y,53.57900,-113.48245,"(53.57900463350049, -113.48244953229602)"
1140,McCauley,Bees,ISSUED,Issued,08/25/2015 12:15:54 PM,07/07/2016 04:31:39 PM,07/07/2016 12:00:00 AM,,Y,Y,53.55551,-113.48142,"(53.555507447393055, -113.48141781132108)"
1140,McCauley,Bees,ISSUED,Issued,08/25/2015 12:15:54 PM,07/07/2016 04:31:39 PM,07/07/2016 12:00:00 AM,,Y,Y,53.55551,-113.48142,"(53.555507447393055, -113.48141781132108)"
6770,Weinlos,Bees,ISSUED,Issued,05/25/2016 08:38:09 AM,05/25/2016 10:11:58 AM,05/25/2016 12:00:00 AM,,Y,Y,53.45997,-113.41361,"(53.45997443527031, -113.41360932167072)"
5250,Keheewin,Bees,ISSUED,Issued,05/11/2016 02:21:31 PM,05/17/2016 05:02:34 PM,05/17/2016 12:00:00 AM,,Y,Y,53.45027,-113.50451,"(53.450270481502606, -113.5045134621976)"
6040,Bonnie Doon,Bees,ISSUED,Issued,05/29/2015 05:35:14 AM,06/01/2015 10:23:40 AM,06/01/2015 12:00:00 AM,,Y,Y,53.52377,-113.46729,"(53.523768960098934, -113.46729006225169)"
6240,Fulton Place,Bees,ISSUED,Issued,05/14/2015 04:40:18 PM,05/15/2015 11:44:04 AM,05/15/2015 12:00:00 AM,,Y,Y,53.54632,-113.42750,"(53.54631536218046, -113.42749643795536)"
1140,McCauley,Bees,ISSUED,Issued,08/28/2015 05:17:26 PM,09/08/2015 02:16:31 PM,09/08/2015 12:00:00 AM,,Y,Y,53.55551,-113.48142,"(53.555507447393055, -113.48141781132108)"
1010,Alberta Avenue,Hens,ISSUED,Issued,04/28/2016 08:25:11 AM,11/04/2016 05:06:32 PM,11/04/2016 12:00:00 AM,4,Y,N,53.56848,-113.48517,"(53.568479070121306, -113.48516811504452)"
3170,Dovercourt,Hens,ISSUED,Issued,04/28/2016 08:25:29 AM,08/18/2016 10:29:34 AM,08/18/2016 12:00:00 AM,4,Y,N,53.57568,-113.55759,"(53.575675540870805, -113.55759021866925)"
6670,Sakaw,Bees,ISSUED,Issued,04/07/2017 06:11:48 PM,05/03/2017 08:34:45 AM,05/03/2017 12:00:00 AM,,Y,Y,53.44196,-113.42882,"(53.44195630182676, -113.4288163368734)"
3440,Westmount,Bees,ISSUED,Issued,09/03/2015 06:42:46 PM,09/08/2015 02:38:24 PM,09/08/2015 12:00:00 AM,,Y,Y,53.55167,-113.54112,"(53.551671762229795, -113.54112241012324)"
6061,Capilano,Bees,ISSUED,Issued,05/28/2015 02:36:41 PM,06/01/2015 10:16:06 AM,06/01/2015 12:00:00 AM,,Y,Y,53.55465,-113.42278,"(53.554645683010186, -113.42277556278047)"
2260,Evansdale,Bees,ISSUED,Issued,07/19/2016 06:48:47 PM,07/20/2016 09:13:42 AM,07/20/2016 12:00:00 AM,,Y,Y,53.61086,-113.47957,"(53.610864743772225, -113.47956900527386)"
5180,Ermineskin,Bees,ISSUED,Issued,05/31/2015 09:22:21 AM,06/01/2015 11:09:44 AM,06/01/2015 12:00:00 AM,,Y,Y,53.45765,-113.50573,"(53.45764638821457, -113.50572907665278)"
5340,Ramsay Heights,Bees,ISSUED,Issued,06/05/2017 10:56:22 AM,06/07/2017 12:11:38 PM,06/07/2017 12:00:00 AM,,Y,Y,53.48336,-113.58022,"(53.48336181504562, -113.5802152080962)"
3240,Inglewood,Bees,ISSUED,Issued,05/05/2016 09:02:40 PM,05/17/2016 04:51:00 PM,05/17/2016 12:00:00 AM,,Y,Y,53.56461,-113.54083,"(53.56461022950754, -113.54083440615169)"
6200,Ekota,Bees,ISSUED,Issued,05/01/2016 10:19:25 AM,05/02/2016 10:58:38 AM,05/02/2016 12:00:00 AM,,Y,Y,53.44941,-113.44233,"(53.449408842387676, -113.44232540415385)"
4060,Britannia Youngstown,Bees,ISSUED,Issued,03/25/2017 08:19:42 PM,04/26/2017 09:12:08 AM,04/26/2017 12:00:00 AM,,Y,Y,53.54628,-113.60150,"(53.54628475992977, -113.60149844673005)"
3270,Laurier Heights,Bees,ISSUED,Issued,06/19/2017 12:41:13 PM,07/05/2017 03:21:25 PM,07/05/2017 12:00:00 AM,,Y,Y,53.51425,-113.56933,"(53.51424671570046, -113.56933226321841)"
6470,Meyonohk,Bees,ISSUED,Issued,06/14/2016 08:01:56 PM,06/28/2016 11:25:46 AM,06/28/2016 12:00:00 AM,,Y,Y,53.45533,-113.45724,"(53.45532588387421, -113.45724296139875)"
6300,Hillview,Bees,ISSUED,Issued,05/19/2015 10:11:52 AM,05/27/2015 12:56:27 PM,08/21/2017 12:00:00 AM,,Y,Y,53.46974,-113.42709,"(53.46973758816532, -113.4270935738733)"
4180,Glenwood,Hens,ISSUED,Issued,04/28/2016 08:29:53 AM,08/01/2017 02:33:22 PM,08/01/2017 12:00:00 AM,3,Y,N,53.53645,-113.60277,"(53.53645466158683, -113.60277044031012)"
