,contributors,coordinates,created_at,entities,extended_entities,favorite_count,favorited,filter_level,geo,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,place,possibly_sensitive,quoted_status,quoted_status_id,quoted_status_id_str,retweet_count,retweeted,retweeted_status,source,text,timestamp_ms,truncated,user
44,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/android""",@footlooseracer @hautedamn @z0mgItsHutch So mu...,,,
45,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/iphone""",RT @urfavandtrump: RT for Jerrie (Little Mix)\...,,,
46,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/iphone""",RT @urfavandtrump: RT for Jerrie (Little Mix)\...,,,
47,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/android""",PSA: @piersmorgan is a asshole. https://t.co/2...,,,
48,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/#!/download/ipad""",RT @NoahCRothman: When Walker was fighting for...,,,
49,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com""",RT @RedheadAndRight: Report: Secret Service Sa...,,,
50,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com""",Me listening to DONALD TRUMP saying that he ha...,,,
51,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/android""",RT @AIIAmericanGirI: VIDEO=&gt; Anti-Trump Pro...,,,
52,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/#!/download/ipad""",RT @NoahCRothman: When Walker was fighting for...,,,
53,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/android""",PSA: @piersmorgan is a asshole. https://t.co/2...,,,
