NAME,Neighbourhood ID,Neighbourhood Name,LATITUDE,LONGITUDE,LOCATION
Gold Bar Community League,6270,Gold Bar,53.548586,-113.413600,"(53.548685398920895, -113.41335429268815)"
Caernarvon Tot Lot A,3060,Caernarvon,53.608620,-113.532915,"(53.60858363544047, -113.5328746161336)"
Gold Bar Sch,6270,Gold Bar,53.549982,-113.413724,"(53.54991620463897, -113.41376700988567)"
Ecole Notre Dame,4230,Jasper Park,53.523888,-113.588069,"(53.52381401498833, -113.58797069000346)"
Homesteader Community League,2350,Homesteader,53.586407,-113.408428,"(53.58651975245424, -113.4081765408068)"
Pollard Meadows School,6580,Pollard Meadows,53.448005,-113.412261,"(53.44800002474881, -113.41240895368162)"
Kittlitz Park,6790,Wild Rose,53.469941,-113.385028,"(53.46993709346665, -113.38510045930005)"
Kiniski Gardens School,6370,Kiniski Gardens,53.477801,-113.404161,"(53.47765038533106, -113.40403326851116)"
Evansdale School/Park,2260,Evansdale,53.610435,-113.482744,"(53.61054238831613, -113.48262123800598)"
Michaels Park,6480,Michaels Park,53.479537,-113.448299,"(53.47956394708951, -113.44803121654789)"
Windsor Park School,5580,Windsor Park,53.523613,-113.535521,"(53.523623574122425, -113.53572616079887)"
Rundle Park,2650,River Valley Rundle,53.555327,-113.386314,"(53.55532061449168, -113.38635931772737)"
Terrace Heights Park,6620,River Valley Gold Bar,53.543398,-113.433944,"(53.543609430286516, -113.43399930456692)"
Beaumaris Park,3040,Beaumaris,53.616707,-113.497670,"(53.61667642472777, -113.49777505290106)"
Elmwood Park Community League,1130,Elmwood Park,53.581589,-113.456687,"(53.58142954388093, -113.45644234507986)"
Delton Community League,1080,Delton,53.579721,-113.475626,"(53.57964273975844, -113.4757344739339)"
Patricia Heights Playground,4390,Patricia Heights,53.510791,-113.603623,"(53.510922486039256, -113.60393290287138)"
Alex Taylor,1020,Boyle Street,53.546858,-113.476602,"(53.54673102973911, -113.47647179157713)"
Beaumaris Park,3040,Beaumaris,53.616825,-113.497885,"(53.616714020941586, -113.49801952531844)"
Ambleside Rope Climber,5505,Ambleside,53.430087,-113.608888,"(53.43003273017854, -113.60896972872783)"
Mayliewan (St John Bosco School) Park,2511,Mayliewan,53.622247,-113.459056,"(53.62223554228757, -113.45897685014958)"
Day Care,5260,Lansdowne,53.487435,-113.545421,"(53.48738931218685, -113.54525053231787)"
Glenora Playground,3200,Glenora,53.546673,-113.556901,"(53.546593758174396, -113.55674884184903)"
Avonmore Park,6020,Avonmore,53.510070,-113.448024,"(53.51021077258169, -113.44815192314537)"
Charlesworth,6661,Charlesworth,53.429858,-113.431758,"(53.42974624588139, -113.43175086315091)"
Academy at King Edward,5480,Strathcona,53.521281,-113.489598,"(53.52127966241329, -113.48971347075518)"
Blackmud Park,5453,Blackmud Creek,53.420209,-113.512656,"(53.420209362614905, -113.51272961307572)"
St Stanislaus,5220,Greenfield,53.473987,-113.524706,"(53.4740931869665, -113.52454440539572)"
Calder School Playground,3070,Calder,53.589043,-113.526362,"(53.58898769705789, -113.52633173938437)"
Father L. Green,2410,Kilkenny,53.607908,-113.457418,"(53.607850074231294, -113.4572006789646)"
Laurier Heights Community Playground,3270,Laurier Heights,53.516495,-113.569721,"(53.51648089444389, -113.56945822622725)"
Garneau School West,5200,Garneau,53.522205,-113.514853,"(53.522167890931684, -113.51479066925569)"
Tipton Park,5330,Queen Alexandra,53.516334,-113.510176,"(53.51630595806985, -113.51003885612042)"
St. Alphonsus School,1160,Parkdale,53.568146,-113.466915,"(53.56808432471312, -113.46701786317136)"
King Edward Park,6360,King Edward Park,53.513566,-113.460368,"(53.51351356358552, -113.46021140221916)"
Wellington Park Playground,3430,Wellington,53.596586,-113.550727,"(53.59668629234089, -113.55072596780894)"
Blue Quill West,5070,Blue Quill Estates,53.456878,-113.539053,"(53.45685587687353, -113.53884294110401)"
Rutherford Park,5454,Rutherford,53.420256,-113.534758,"(53.420180994548716, -113.5346812688925)"
Laurel Park 3,6444,Laurel,53.441387,-113.388008,"(53.44143475327799, -113.38809900655849)"
Ormsby Playground,4380,Ormsby Place,53.497482,-113.636934,"(53.49738897828654, -113.63712352976987)"
Kilkenny Park/CL Barnett School,2410,Kilkenny,53.610445,-113.451307,"(53.6105060254111, -113.45121370485684)"
Zoie Gardner Park,2020,Balwin,53.585688,-113.450485,"(53.58569350495377, -113.45032588817526)"
Parkview,3330,Parkview,53.526005,-113.567652,"(53.52593152559366, -113.567554686736)"
Lorne Street Park,1010,Alberta Avenue,53.562921,-113.482378,"(53.56294502333051, -113.48219520892746)"
Hay Ridge Park,5465,Hays Ridge Area,53.416208,-113.572269,"(53.41615289571993, -113.57217559263307)"
Fort Edmonton Park,5401,River Valley Fort Edmonton,53.502156,-113.581330,"(53.50228665492894, -113.58145195078508)"
Charlesworth,6661,Charlesworth,53.429593,-113.431492,"(53.42950322075839, -113.43149336161305)"
Killarney Park,2420,Killarney,53.590590,-113.474969,"(53.59061832319456, -113.47484259813604)"
Sweetgrass School,5490,Sweet Grass,53.463028,-113.529017,"(53.46299668990039, -113.52913718541906)"
McKernan School,5290,McKernan,53.513815,-113.523301,"(53.51375722742797, -113.52323204451797)"
Paisley Park,5469,Paisley,53.414424,-113.559460,"(53.414424157904804, -113.5596037195368)"
Glengarry Park,2290,Glengarry,53.595823,-113.477331,"(53.59579741644875, -113.47701468469494)"
Empire Park Community League,5170,Empire Park,53.486174,-113.509241,"(53.486141819464436, -113.50913691852611)"
Westridge Playground,4610,Westridge,53.506260,-113.605273,"(53.50630983919051, -113.6052920887754)"
Giovanni Caboto,1140,McCauley,53.556321,-113.484079,"(53.556343602902025, -113.48404744597842)"
Garneau School East,5200,Garneau,53.522243,-113.512977,"(53.52215326046482, -113.51265383820646)"
Mayliewan (St John Bosco School) Park,2511,Mayliewan,53.622178,-113.459293,"(53.62223342508593, -113.45921729458921)"
Rosenthal,4750,Rosenthal,53.517437,-113.699203,"(53.51737335045545, -113.69916369701974)"
Forest Heights Park,6230,Forest Heights,53.551001,-113.445144,"(53.551079655878894, -113.44526006070441)"
,3140,Crestwood,53.534491,-113.570376,"(53.53443786500405, -113.57003735687023)"
Skyrattler School,5460,Skyrattler,53.450571,-113.524148,"(53.45060881676527, -113.52435493324388)"
Magrath Heights,5476,Magrath Heights,53.449599,-113.559665,"(53.44950801452607, -113.5596856324087)"
Bonnie Doon Park,6040,Bonnie Doon,53.527387,-113.470820,"(53.527385726947315, -113.47086513698477)"
Mayliewan (St John Bosco School) Park,2511,Mayliewan,53.622168,-113.459026,"(53.62208061716416, -113.4590499144494)"
Clara Tyner School,6550,Ottewell,53.530888,-113.436392,"(53.53094125601367, -113.43626771616483)"
McCauley School,1140,McCauley,53.553146,-113.484037,"(53.55307077159472, -113.48415738852273)"
Ambleside,5505,Ambleside,53.433096,-113.603972,"(53.43303319246181, -113.60394413237466)"
Miller Park,2541,Miller,53.612424,-113.416023,"(53.6125391924283, -113.41597041139235)"
Central McDougall,1030,Central McDougall,53.554789,-113.503686,"(53.55491750224256, -113.50380141842167)"
Rideau School,5360,Rideau Park,53.478023,-113.504651,"(53.477999212917524, -113.50461598524817)"
Glengarry Park,2290,Glengarry,53.595946,-113.476317,"(53.595863226613375, -113.47618084950463)"
Rideau School,5360,Rideau Park,53.478020,-113.504986,"(53.478006113335454, -113.50489333678496)"
Rutherford Sch,6040,Bonnie Doon,53.522639,-113.468451,"(53.52266958966403, -113.46856001293916)"
Brander Gardens Park,5080,Brander Gardens,53.493683,-113.575683,"(53.49361508361277, -113.57553286873622)"
Canora Park/Holy Cross School,4090,Canora,53.547344,-113.582532,"(53.54734686510147, -113.58219333981266)"
Parkdale Community League,1160,Parkdale,53.562986,-113.471429,"(53.56304141338172, -113.4713576089909)"
Kinsmen Park Senior,5390,River Valley Walterdale,53.526911,-113.509422,"(53.526864796750964, -113.50931741416494)"
St. Mary,5350,Rhatigan Ridge,53.475815,-113.586224,"(53.475826540931, -113.58637679151022)"
Jackie Parker Park,6500,Mill Woods Golf Course,53.483894,-113.421488,"(53.483961384199745, -113.42144987923388)"
Touchdown Playground,3070,Calder,53.587383,-113.537617,"(53.587306046443295, -113.53770695601088)"
St. Clements School,6200,Ekota,53.445930,-113.448454,"(53.44576625676361, -113.4483763598997)"
Michael Strembitsky,6213,Summerside,53.413626,-113.462356,"(53.41358891586823, -113.46244302039986)"
Sherbrooke Playground,3410,Sherbrooke,53.574873,-113.548262,"(53.574945679574654, -113.54820494017636)"
Strathearn Park,6710,Strathearn,53.529613,-113.461070,"(53.529550816661406, -113.4612061242714)"
Allendale School,5010,Allendale,53.500732,-113.502884,"(53.50077510398782, -113.50265618994035)"
Castle Downs Park,3180,Dunluce,53.616727,-113.525637,"(53.61662625811687, -113.5255836274918)"
Ellingson Park,5310,Parkallen,53.502942,-113.517906,"(53.50290786167197, -113.51795723695872)"
Ambleside,5505,Ambleside,53.432801,-113.603008,"(53.4327685375416, -113.60298414386091)"
Matt Berry,2500,Matt Berry,53.621892,-113.431211,"(53.62179787511833, -113.43135348191258)"
Keheewin School,5250,Keheewin,53.448382,-113.503013,"(53.44842861078905, -113.50274812512251)"
Bishop Savaryn School,3280,Lorelei,53.621621,-113.507141,"(53.6216392726847, -113.50702183427548)"
Arthur Elliott Park Playground,4580,West Jasper Place,53.533529,-113.584401,"(53.533339315175134, -113.58442075238938)"
William Hawrelak Park,5370,River Valley Mayfair,53.526744,-113.544062,"(53.526765153606775, -113.54404508539886)"
Groat Playground,3440,Westmount,53.550135,-113.538830,"(53.550243287503285, -113.53898868805607)"
Balwin Park,2020,Balwin,53.587344,-113.456089,"(53.5873900316621, -113.4559178839347)"
Bellevue School,2060,Bellevue,53.568424,-113.449031,"(53.56855057871962, -113.44898316670805)"
Rosslyn Tot Playground,3390,Rosslyn,53.598178,-113.498446,"(53.59807559537565, -113.4985423002677)"
Belgravia Community League,5040,Belgravia,53.509460,-113.530851,"(53.509574507766416, -113.53100343805158)"
Secord Playground,4487,Secord,53.533555,-113.691708,"(53.53355574663952, -113.69181141212505)"
Keswick,5576,Keswick Area,53.419665,-113.641236,"(53.41956420879721, -113.64130982204085)"
"W.C. ""Tubby"" Bateman Park",5480,Strathcona,53.523344,-113.480064,"(53.52330991321597, -113.48003048380917)"
Westwood Arena Park,1250,Westwood,53.573963,-113.493031,"(53.57383026762581, -113.49318866522597)"
Kildare,2400,Kildare,53.606108,-113.457694,"(53.60605286303034, -113.45763742143345)"
Montrose Community League,2550,Montrose,53.572458,-113.432854,"(53.57239679038565, -113.43296610948)"
Holy Family,6580,Pollard Meadows,53.447069,-113.403813,"(53.44692363733661, -113.40392393972193)"
Mother Teresa School,1020,Boyle Street,53.551859,-113.476088,"(53.55186768583581, -113.47598276404307)"
Beacon Heights Park Tot Lot,2040,Beacon Heights,53.572895,-113.395634,"(53.57298683838776, -113.3957055794486)"
Duncan Innes Park,6360,King Edward Park,53.516309,-113.452518,"(53.51625003353173, -113.45238405002553)"
John A McDougall,1030,Central McDougall,53.555242,-113.506064,"(53.5551836767699, -113.50593586090602)"
Menisa School,6450,Menisa,53.442805,-113.447308,"(53.44267805611089, -113.44738831423206)"
Hamptons,4461,The Hamptons,53.492825,-113.679887,"(53.49275980655959, -113.67965518519036)"
Thorncliff Playground,4560,Thorncliff,53.516080,-113.620735,"(53.51608399349777, -113.62078073096365)"
Aspen Gardens Community League,5020,Aspen Gardens,53.474819,-113.542903,"(53.474772599294, -113.5428137243963)"
Terwillegar South Park,5642,South Terwillegar,53.439795,-113.580068,"(53.43977989807219, -113.57995581772562)"
Rundle Park,2650,River Valley Rundle,53.554866,-113.387312,"(53.554826769462025, -113.38728101290576)"
Homesteader School,2350,Homesteader,53.586860,-113.412578,"(53.58696261361772, -113.41238242722642)"
Laurier Park Playground,3382,River Valley Laurier,53.510508,-113.548951,"(53.51050886198986, -113.54881950778045)"
Carlton Park/Elizabeth Finch School,3470,Carlton,53.619987,-113.559854,"(53.61993082104891, -113.55991222368507)"
Richford,5451,Richford,53.425719,-113.506966,"(53.42577291922244, -113.50705619153982)"
Ottewell Community League,6550,Ottewell,53.530724,-113.424180,"(53.53065191926589, -113.42415328944486)"
Centennial School (Gariepy),4160,Gariepy,53.493498,-113.623454,"(53.49335498003368, -113.62327287913038)"
Jackie Parker Park,6500,Mill Woods Golf Course,53.484067,-113.421603,"(53.484119894697685, -113.42163460971244)"
Parkview Playground,3330,Parkview,53.525112,-113.569993,"(53.52520070314215, -113.56978694252578)"
Castle Downs Park,3180,Dunluce,53.616613,-113.525023,"(53.616600857259286, -113.52514410906893)"
Gallagher Park,6070,Cloverdale,53.535997,-113.472575,"(53.53595142720296, -113.47253028300837)"
Castle Downs Park,3180,Dunluce,53.616402,-113.525633,"(53.61633271881472, -113.525544604015)"
Kinsmen Park Senior,5390,River Valley Walterdale,53.527228,-113.509179,"(53.527226855968905, -113.50926646003802)"
Donnan Park/Arena,6492,Mill Creek Ravine South,53.515547,-113.469054,"(53.515484725722416, -113.46896210400531)"
Dr. Francis Crang Park,5170,Empire Park,53.486657,-113.501659,"(53.48681154059106, -113.50166620229803)"
Homesteader School,2350,Homesteader,53.587081,-113.412397,"(53.58715483482021, -113.41241998039744)"
Beacon Heights Park Tot Lot,2040,Beacon Heights,53.572946,-113.396043,"(53.57290083354897, -113.39594918866136)"
Hillview School,6300,Hillview,53.468090,-113.427058,"(53.46794963743483, -113.42684087585438)"
Bannerman Park,2030,Bannerman,53.604172,-113.378782,"(53.60400846897964, -113.37858239982805)"
Cameron Heights,4466,Cameron Heights,53.473250,-113.636178,"(53.473221970535775, -113.63616145610119)"
St. Bernadette School,2040,Beacon Heights,53.572186,-113.402374,"(53.57228229800915, -113.40254456627042)"
Hudson Park,3480,Hudson,53.607524,-113.556311,"(53.607629327765025, -113.55627102030914)"
Michael Strembitsky,6213,Summerside,53.413816,-113.462546,"(53.413736248200905, -113.46238737823305)"
Granville Tot Lot,4551,Granville,53.507299,-113.679078,"(53.50737688997397, -113.67910703486695)"
Silverberry Park,6442,Silver Berry,53.457333,-113.384253,"(53.45742314840243, -113.38424956003664)"
Coronation,3310,North Glenora,53.555532,-113.560356,"(53.5554058032713, -113.5602778279213)"
Mount Pleasant Park,5320,Pleasantview,53.495342,-113.500531,"(53.495299922392604, -113.50064216573874)"
Delton School,1010,Alberta Avenue,53.575395,-113.478432,"(53.57532089643246, -113.47854546146351)"
Wedgewood Heights Playground,4570,Wedgewood Heights,53.480613,-113.646601,"(53.48050686596977, -113.64657120647755)"
Blackmud Park,5453,Blackmud Creek,53.420234,-113.513253,"(53.42020336589884, -113.5131198885415)"
Strathcona Communuty League,5480,Strathcona,53.522558,-113.492786,"(53.5224605852037, -113.49289373654534)"
Baturyn Park,3030,Baturyn,53.632650,-113.504608,"(53.63260369185697, -113.50443948884151)"
Ecole Frere Antoine School,6750,Tipaskan,53.460190,-113.448736,"(53.46034723232064, -113.44898390982337)"
Mayliewan (St John Bosco School) Park,2511,Mayliewan,53.622079,-113.459311,"(53.62211227285444, -113.45928899785622)"
Michael Strembitsky,6213,Summerside,53.414015,-113.462564,"(53.413923708377666, -113.46232353197678)"
McLeod Meadows,2530,McLeod,53.615016,-113.441499,"(53.61500892073627, -113.44141794287367)"
St James,6360,King Edward Park,53.513946,-113.455875,"(53.513962662525735, -113.45607141289295)"
Woodcroft Playground,3450,Woodcroft,53.564706,-113.561899,"(53.56483381074381, -113.56185157904666)"
Windsor Park Community League,5580,Windsor Park,53.523253,-113.535601,"(53.52330763822869, -113.53571871459044)"
Carlton Park/Elizabeth Finch School,3470,Carlton,53.619925,-113.559846,"(53.62000927150842, -113.55959142778221)"
Sherwood Playground,4500,Sherwood,53.528895,-113.587430,"(53.52877087443348, -113.587383418087)"
Terrace Heights School,6730,Terrace Heights,53.539320,-113.435240,"(53.53949347233207, -113.43526950410944)"
Blair McPherson,6443,Tamarack,53.468886,-113.362709,"(53.468881562541995, -113.3623836895948)"
St Catherine,1180,Queen Mary Park,53.555910,-113.509512,"(53.55592858121473, -113.50939781851547)"
Parkview Playground,3330,Parkview,53.525314,-113.569560,"(53.525352352788296, -113.56952654818735)"
Queen Alexandra,5330,Queen Alexandra,53.513476,-113.504871,"(53.51338420239097, -113.50495912498286)"
Mary Finlay Park,6230,Forest Heights,53.543593,-113.451432,"(53.543556676892464, -113.45136892597682)"
Chappelle,5462,Chappelle Area,53.406295,-113.573049,"(53.40637915215116, -113.57297367698689)"
Floden Park,2100,Beverly Heights,53.563764,-113.407838,"(53.56382267744712, -113.40776146630168)"
William Hawrelak Park,5370,River Valley Mayfair,53.526985,-113.544235,"(53.52694226549046, -113.54424668994744)"
Laurier Park Playground,3382,River Valley Laurier,53.510441,-113.548819,"(53.51040429431174, -113.54876707741008)"
Lansdowne Community League,5260,Lansdowne,53.487007,-113.545939,"(53.486944603873084, -113.5459183121809)"
Tipaskan School,6750,Tipaskan,53.462787,-113.460434,"(53.46269301640867, -113.4602846009796)"
Greenfield Community League,5220,Greenfield,53.473567,-113.526034,"(53.47351181838988, -113.52603725175314)"
Silverberry Park,6442,Silver Berry,53.457784,-113.384493,"(53.457652419179155, -113.38422367875327)"
Fulton Place Community League,6240,Fulton Place,53.546285,-113.425963,"(53.54619746674004, -113.42578550333255)"
Lynnwood Playground,4280,Lynnwood,53.516211,-113.589784,"(53.516295443869126, -113.58946550183191)"
Kameyosek School,6340,Kameyosek,53.461237,-113.443344,"(53.46133618119465, -113.44332429006482)"
Fraser School/Park,2280,Fraser,53.610600,-113.372575,"(53.61072198496389, -113.37281722454098)"
Beverly Heights Playground,2100,Beverly Heights,53.569151,-113.395331,"(53.56919083750638, -113.39549059408296)"
Ellerslie Crossing,6211,Ellerslie,53.428982,-113.459042,"(53.42909644376094, -113.45883981056339)"
Riverdale School,1210,Riverdale,53.543495,-113.467638,"(53.54338915205979, -113.46779531562782)"
Northmount Playground,2580,Northmount,53.603226,-113.481618,"(53.60349324485865, -113.48181177675323)"
William Hawrelak Park,5370,River Valley Mayfair,53.527023,-113.543955,"(53.52703006729156, -113.54403226299326)"
Queen Alexandra Community League,5330,Queen Alexandra,53.509572,-113.508492,"(53.50969526831927, -113.50824316992907)"
Granville,4551,Granville,53.498772,-113.679143,"(53.49879651424736, -113.6791211480637)"
Major General Griesbach - Central Park,3111,Griesbach,53.606096,-113.497999,"(53.6060101740797, -113.49781903166209)"
